image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
461,7,Clean,0.0,120.0,1.0,0.013586543132928721,18.668910281289897,0.8311440884774011
462,0,Clean,0.0,120.0,1.0,0.01601638535928986,17.954354904766596,0.8747041208967952
463,1,Clean,0.0,120.0,1.0,0.0059551739213513765,22.25105550389398,0.89829345551886
464,1,Clean,0.0,120.0,1.0,0.007261354858330412,21.38982338996972,0.8626582658995072
465,5,Clean,0.0,120.0,1.0,0.022262480513318087,16.524264476729844,0.8318963266481237
466,6,Clean,0.0,120.0,1.0,0.02576848337437048,15.889111414616949,0.7488476212438899
467,4,Clean,0.0,120.0,1.0,0.026252823735986773,15.808239773245665,0.7487184887108717
468,2,Clean,0.0,120.0,1.0,0.026651217569803102,15.742829452952776,0.7669622681203598
469,1,Clean,0.0,120.0,1.0,0.008380893433932255,20.76709681519585,0.827418339005866
470,5,Clean,0.0,120.0,1.0,0.016864876155698712,17.730168436294875,0.7720418760595568
471,8,Clean,0.0,120.0,1.0,0.02699683061225902,15.686872183743537,0.7577261954302054
472,6,Clean,0.0,120.0,1.0,0.030632434002106863,15.138184935072967,0.7160064930554275
473,5,Clean,0.0,120.0,1.0,0.025159181831878902,15.99303486107442,0.7480713794095257
474,9,Clean,0.0,120.0,1.0,0.015458112765809077,18.108435288798752,0.8499244813668132
475,8,Clean,0.0,120.0,1.0,0.017355036573782387,17.605744667649613,0.8272569495531147
476,5,Clean,0.0,120.0,1.0,0.02360429480330916,16.270089699247986,0.7104826892265028
477,1,Clean,0.0,120.0,1.0,0.0054593957708693585,22.628554210128925,0.892519096737024
478,0,Clean,0.0,120.0,1.0,0.01669130149504758,17.775097981272253,0.8108250920640565
479,0,Clean,0.0,120.0,1.0,0.014484243756562244,18.39104175014987,0.8456225953169751
480,8,Clean,0.0,120.0,1.0,0.031402357014711495,15.03037753198581,0.7492461599436198
481,7,Clean,0.0,120.0,1.0,0.011273406194284043,19.47944844567941,0.8307951929957691
482,2,Clean,0.0,120.0,1.0,0.01733860946003373,17.60985735467065,0.751047504809452
483,3,Clean,0.0,120.0,1.0,0.026739873700692574,15.728406483538333,0.6846466165670027
484,3,Clean,0.0,120.0,1.0,0.024839607363956552,16.04855273270608,0.7057409822109454
485,7,Clean,0.0,120.0,1.0,0.011281261354353981,19.47642339305701,0.8519380518664107
486,3,Clean,0.0,120.0,1.0,0.02595637910362099,15.857558914169545,0.6662625302812827
487,3,Clean,0.0,120.0,1.0,0.02188484272466042,16.598565700953063,0.7423251248599706
488,7,Clean,0.0,120.0,1.0,0.014693557405818248,18.32873045960661,0.7605146302632504
489,7,Clean,0.0,120.0,1.0,0.013367903387051107,18.73936701850617,0.8123506578068139
490,6,Clean,0.0,120.0,1.0,0.029992906821906064,15.229814416917266,0.7751241525292054
491,6,Clean,0.0,120.0,1.0,0.021930139169033802,16.5895861227361,0.719174453640818
492,9,Clean,0.0,120.0,1.0,0.021001383477114974,16.777520949476887,0.8032013155112869
493,2,Clean,0.0,120.0,1.0,0.017103856367187493,17.669059591886068,0.8458336607389427
494,0,Clean,0.0,120.0,1.0,0.020650004582862768,16.850798476244428,0.8550170391832436
495,1,Clean,0.0,120.0,1.0,0.006473192255558608,21.888814941270894,0.8711980587422993
496,0,Clean,0.0,120.0,1.0,0.015418039232883872,18.11970853553796,0.877993398890327
497,8,Clean,0.0,120.0,1.0,0.01906573122632495,17.197465336125475,0.7559533054012718
498,1,Clean,0.0,120.0,1.0,0.00815827409826067,20.88401707530524,0.8792438898982541
499,9,Clean,0.0,120.0,1.0,0.023764794897283757,16.24065929543524,0.7739044047031067
400,7,Gaussian Blur,0.010225638827304626,19.90309550752712,0.8030561085702573,0.01388189245208093,18.575513245532186,0.807223282022493
401,8,Gaussian Blur,0.015002706384098143,18.23830390167034,0.7639215808484248,0.02895034806595393,15.383462104438191,0.7290808958522885
402,2,Gaussian Blur,0.013955954392991434,18.552404584632875,0.8293261077471641,0.020613844943974436,16.858409950130945,0.8031289239519411
403,7,Gaussian Blur,0.014334086041168254,18.436299929812797,0.7937921592131935,0.024454310665379276,16.116445748562505,0.7737887508065292
404,6,Gaussian Blur,0.009543876136615548,20.20275205709618,0.8292389177274085,0.022632409227786785,16.452692127867113,0.7710715161164731
405,0,Gaussian Blur,0.014553624926670844,18.370288218273856,0.8383362071289759,0.03785895404078894,14.218313888029835,0.7205424489068968
406,7,Gaussian Blur,0.010776408252410594,19.675259642031612,0.7929256302976408,0.015083924747687417,18.214856429162204,0.7926608263482678
407,1,Gaussian Blur,0.009543111017614117,20.2031002387739,0.7907078121252223,0.012430921540322886,19.054966746534493,0.7567268782519563
408,0,Gaussian Blur,0.014849037108190778,18.28301707434823,0.8812927993898019,0.021032293830947735,16.7711335956298,0.8502691324812767
409,9,Gaussian Blur,0.011848955016451862,19.263199492825837,0.7569511582929065,0.018284157865133314,17.379250376747486,0.7469796972858262
410,1,Gaussian Blur,0.007488701137525371,21.2559350108842,0.8366149040441428,0.007282748873549726,21.377046652910906,0.8396289106539493
411,6,Gaussian Blur,0.013662052484550644,18.644840505992995,0.8252027962694698,0.025409395626224227,15.950056647141862,0.7684339802012037
412,0,Gaussian Blur,0.012080027683322269,19.179320704582373,0.8612636093844692,0.018718056795610588,17.27739239291701,0.8298519148217658
413,7,Gaussian Blur,0.010863364540511164,19.640356466553474,0.8058327633829147,0.02180079282663594,16.61527712176492,0.7009553959629524
414,6,Gaussian Blur,0.011850288763599176,19.262710667922967,0.7796877389635165,0.017338448938266835,17.609897562070472,0.7546532402943369
415,9,Gaussian Blur,0.012096916683820038,19.173253104969497,0.7759121257765288,0.023527669587203794,16.284210875090515,0.7413968385579515
416,1,Gaussian Blur,0.007448371231611586,21.279386859710474,0.8179444867156214,0.008438718214941904,20.737235148024222,0.8119938729998207
417,7,Gaussian Blur,0.011301285125057741,19.468721679337058,0.7344158603566695,0.02281066616696186,16.418620313208546,0.5997911791736861
